Timestamp,Temperature (°C),Heart Rate (BPM),Respiratory Rate (BPM),Alert
2025-04-02 16:16:37,39.4,86,7,Abnormal Breathing
2025-04-02 16:15:37,38.5,138,27,Normal
2025-04-02 16:14:37,39.6,155,16,Fever
2025-04-02 16:13:37,38.4,98,20,Normal
2025-04-02 16:12:37,38.4,151,18,Normal
2025-04-02 16:11:37,39.3,105,19,Normal
2025-04-02 16:10:37,38.4,153,15,Normal
2025-04-02 16:09:37,38.7,159,16,Normal
2025-04-02 16:08:37,38.3,169,33,Normal
2025-04-02 16:07:37,38.4,134,8,Normal
2025-04-02 16:06:37,38.3,114,21,Normal
2025-04-02 16:05:37,38.4,137,28,Normal
2025-04-02 16:04:37,39.5,73,19,Normal
2025-04-02 16:03:37,38.4,56,11,Bradycardia
2025-04-02 16:02:37,38.4,86,6,Abnormal Breathing
2025-04-02 16:01:37,38.4,119,22,Normal
2025-04-02 16:00:37,39.3,136,22,Normal
2025-04-02 15:59:37,38.7,150,18,Normal
2025-04-02 15:58:37,38.5,146,7,Abnormal Breathing
2025-04-02 15:57:37,38.4,56,16,Bradycardia
2025-04-02 15:56:37,38.6,72,35,Normal
2025-04-02 15:55:37,38.7,154,32,Normal
2025-04-02 15:54:37,38.6,113,34,Normal
2025-04-02 15:53:37,38.5,94,30,Normal
2025-04-02 15:52:37,38.3,125,28,Normal
2025-04-02 15:51:37,38.9,154,29,Normal
2025-04-02 15:50:37,38.5,87,18,Normal
2025-04-02 15:49:37,38.5,91,26,Normal
2025-04-02 15:48:37,38.4,87,10,Normal
2025-04-02 15:47:37,38.5,94,16,Normal
2025-04-02 15:46:37,38.6,128,19,Normal
2025-04-02 15:45:37,38.4,151,32,Normal
2025-04-02 15:44:37,39.1,104,30,Normal
2025-04-02 15:43:37,39.0,157,18,Normal
2025-04-02 15:42:37,39.0,149,11,Normal
2025-04-02 15:41:37,38.4,142,34,Normal
2025-04-02 15:40:37,38.4,96,23,Normal
2025-04-02 15:39:37,39.3,150,17,Normal
2025-04-02 15:38:37,38.8,135,33,Normal
2025-04-02 15:37:37,38.4,109,25,Normal
2025-04-02 15:36:37,38.6,125,12,Normal
2025-04-02 15:35:37,38.8,112,18,Normal
2025-04-02 15:34:37,38.9,147,19,Normal
2025-04-02 15:33:37,38.7,156,23,Normal
2025-04-02 15:32:37,38.6,105,30,Normal
2025-04-02 15:31:37,38.6,80,12,Normal
2025-04-02 15:30:37,38.8,107,5,Abnormal Breathing
2025-04-02 15:29:37,38.6,92,29,Normal
2025-04-02 15:28:37,38.4,99,35,Normal
2025-04-02 15:27:37,38.9,88,15,Normal
2025-04-02 15:26:37,39.5,158,30,Normal
2025-04-02 15:25:37,39.6,110,32,Fever
2025-04-02 15:24:37,39.2,84,21,Normal
2025-04-02 15:23:37,39.6,139,5,Fever
2025-04-02 15:22:37,38.5,138,7,Abnormal Breathing
2025-04-02 15:21:37,38.4,145,26,Normal
2025-04-02 15:20:37,39.7,132,23,Fever
2025-04-02 15:19:37,39.1,71,25,Normal
2025-04-02 15:18:37,38.7,105,30,Normal
2025-04-02 15:17:37,39.3,131,5,Abnormal Breathing
2025-04-02 15:16:37,39.3,131,25,Normal
2025-04-02 15:15:37,38.8,178,24,Normal
2025-04-02 15:14:37,38.3,149,18,Normal
2025-04-02 15:13:37,39.2,152,22,Normal
2025-04-02 15:12:37,38.5,142,23,Normal
2025-04-02 15:11:37,38.6,79,12,Normal
2025-04-02 15:10:37,38.8,110,22,Normal
2025-04-02 15:09:37,38.8,53,28,Bradycardia
2025-04-02 15:08:37,38.4,134,22,Normal
2025-04-02 15:07:37,38.7,120,19,Normal
2025-04-02 15:06:37,39.2,153,20,Normal
2025-04-02 15:05:37,38.3,115,29,Normal
